Name,Alexander
11a_3,1-5*t+13*t^2-24*t^3+29*t^4-24*t^5+13*t^6-5*t^7+t^8
11a_4,2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
11a_5,1-9*t+30*t^2-45*t^3+30*t^4-9*t^5+t^6
11a_6,2-13*t+32*t^2-41*t^3+32*t^4-13*t^5+2*t^6
11a_7,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_8,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
11a_9,1-5*t+10*t^2-11*t^3+11*t^4-11*t^5+10*t^6-5*t^7+t^8
11a_10,2-11*t+25*t^2-31*t^3+25*t^4-11*t^5+2*t^6
11a_11,2-11*t+26*t^2-35*t^3+26*t^4-11*t^5+2*t^6
11a_12,2-11*t+24*t^2-29*t^3+24*t^4-11*t^5+2*t^6
11a_13,3-15*t+25*t^2-15*t^3+3*t^4
11a_14,1-5*t+15*t^2-28*t^3+35*t^4-28*t^5+15*t^6-5*t^7+t^8
11a_15,1-5*t+13*t^2-22*t^3+25*t^4-22*t^5+13*t^6-5*t^7+t^8
11a_16,2-10*t+24*t^2-33*t^3+24*t^4-10*t^5+2*t^6
11a_17,1-10*t+30*t^2-41*t^3+30*t^4-10*t^5+t^6
11a_18,3-13*t+29*t^2-37*t^3+29*t^4-13*t^5+3*t^6
11a_19,1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_20,3-13*t+25*t^2-31*t^3+25*t^4-13*t^5+3*t^6
11a_21,5-19*t+27*t^2-19*t^3+5*t^4
11a_22,1-5*t+13*t^2-20*t^3+23*t^4-20*t^5+13*t^6-5*t^7+t^8
11a_23,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
11a_24,1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_25,1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_26,1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_27,2-13*t+34*t^2-45*t^3+34*t^4-13*t^5+2*t^6
11a_28,1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
11a_29,2-12*t+27*t^2-33*t^3+27*t^4-12*t^5+2*t^6
11a_30,2-13*t+35*t^2-49*t^3+35*t^4-13*t^5+2*t^6
11a_31,3-14*t+28*t^2-35*t^3+28*t^4-14*t^5+3*t^6
11a_32,3-14*t+32*t^2-41*t^3+32*t^4-14*t^5+3*t^6
11a_33,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_34,1-5*t+14*t^2-25*t^3+29*t^4-25*t^5+14*t^6-5*t^7+t^8
11a_35,1-5*t+14*t^2-25*t^3+31*t^4-25*t^5+14*t^6-5*t^7+t^8
11a_36,2-12*t+28*t^2-37*t^3+28*t^4-12*t^5+2*t^6
11a_37,2-9*t+21*t^2-29*t^3+21*t^4-9*t^5+2*t^6
11a_38,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
11a_39,3-12*t+22*t^2-27*t^3+22*t^4-12*t^5+3*t^6
11a_40,1-5*t+12*t^2-17*t^3+19*t^4-17*t^5+12*t^6-5*t^7+t^8
11a_41,2-11*t+27*t^2-35*t^3+27*t^4-11*t^5+2*t^6
11a_42,1-9*t+26*t^2-35*t^3+26*t^4-9*t^5+t^6
11a_43,4-15*t+30*t^2-37*t^3+30*t^4-15*t^5+4*t^6
11a_44,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_45,6-22*t+31*t^2-22*t^3+6*t^4
11a_46,2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
11a_47,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_48,2-12*t+26*t^2-33*t^3+26*t^4-12*t^5+2*t^6
11a_49,3-13*t+23*t^2-27*t^3+23*t^4-13*t^5+3*t^6
11a_50,5-21*t+31*t^2-21*t^3+5*t^4
11a_51,1-9*t+28*t^2-39*t^3+28*t^4-9*t^5+t^6
11a_52,2-13*t+32*t^2-43*t^3+32*t^4-13*t^5+2*t^6
11a_53,1-6*t+14*t^2-18*t^3+19*t^4-18*t^5+14*t^6-6*t^7+t^8
11a_54,2-13*t+33*t^2-43*t^3+33*t^4-13*t^5+2*t^6
11a_55,1-5*t+10*t^2-13*t^3+13*t^4-13*t^5+10*t^6-5*t^7+t^8
11a_56,2-11*t+25*t^2-33*t^3+25*t^4-11*t^5+2*t^6
11a_57,1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_58,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
11a_59,3-11*t+15*t^2-11*t^3+3*t^4
11a_60,3-12*t+18*t^2-19*t^3+18*t^4-12*t^5+3*t^6
11a_61,6-26*t+39*t^2-26*t^3+6*t^4
11a_62,1-5*t+8*t^2-9*t^3+9*t^4-9*t^5+8*t^6-5*t^7+t^8
11a_63,2-11*t+21*t^2-25*t^3+21*t^4-11*t^5+2*t^6
11a_64,2-11*t+22*t^2-27*t^3+22*t^4-11*t^5+2*t^6
11a_65,3-15*t+23*t^2-15*t^3+3*t^4
11a_66,1-6*t+15*t^2-24*t^3+27*t^4-24*t^5+15*t^6-6*t^7+t^8
11a_67,2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_68,1-6*t+14*t^2-20*t^3+21*t^4-20*t^5+14*t^6-6*t^7+t^8
11a_69,2-13*t+33*t^2-45*t^3+33*t^4-13*t^5+2*t^6
11a_70,2-14*t+36*t^2-47*t^3+36*t^4-14*t^5+2*t^6
